Titulo1= Mortalidade - Brasil
Titulo2=Óbitos p/Residênc por Sexo segundo Causa - CID-BR-10
Rodape=Período:2022
Nomemapa=c:\tabwin\cid10-lista-br.map
"Causa - CID-BR-10";"Masc";"Fem";"Ign";"Total"
". 066 Febre reumát aguda e doen reum crôn coração";1003;1502;0;2505
". 067 Doenças hipertensivas";31563;36125;3;67691
". 068 Doenças isquêmicas do coração";71244;49405;9;120658
"... 068.1 Infarto agudo do miocárdio";58212;39799;8;98019
". 069 Outras doenças cardíacas";40677;41005;4;81686
". 070 Doenças cerebrovasculares";54946;52365;11;107322
". 071 Aterosclerose";397;438;0;835
". 072 Rest doenças do aparelho circulatório";10351;9106;0;19457
"073-077 DOENÇAS DO APARELHO RESPIRATÓRIO";88645;87411;17;176073
". 073 Influenza (gripe)";1412;1837;0;3249
". 074 Pneumonia";42601;43820;10;86431
". 075 Out infec agudas das vias aéreas inferiores";819;759;1;1579
"... 075.1 Bronquiolite";279;223;1;503
". 076 Doenças crônicas das vias aéreas inferiores";27442;25468;2;52912
"... 076.1 Asma";1050;1752;0;2802
". 077 Restante  doenças do aparelho respiratório";16371;15527;4;31902
"078-082 DOENÇAS DO APARELHO DIGESTIVO";45981;30496;8;76485
". 078 Úlcera gástrica, duodenal e péptica";2738;1842;1;4581
". 079 Peritonite";950;913;1;1864
". 080 Doenças do fígado";21260;6975;3;28238
"... 080.1 Doença alcoólica do fígado";10190;1376;0;11566
"... 080.2 Fibrose e cirrose do fígado";6769;2821;2;9592
"... 080.3 Outras doenças do fígado";4301;2778;1;7080
". 081 Colecistite";916;1192;1;2109
". 082 Rest doenças do aparelho digestivo";20117;19574;2;39693
"083 DOENÇAS DA PELE E TECIDO SUBCUTÂNEO";4132;5381;1;9514
"084 DOENÇAS SIST OSTEOMUSC E TECIDO CONJUNTIVO";2760;4222;3;6985
"085-087 DOENÇAS DO APARELHO GENITURINÁRIO";26539;29757;7;56303
". 085 D glomerulares e d renais túbulo-interstic";2958;3236;1;6195
". 086 Insuficiência renal";10167;7903;1;18071
". 087 Rest doenças do aparelho geniturinário";13414;18618;5;32037
"088-092 GRAVIDEZ, PARTO E PUERPÉRIO";0;1640;0;1640
". 088 Gravidez que termina em aborto";0;131;0;131
". 089 Outras causas obstétricas diretas";0;794;0;794
". 090 Causas obstétricas indiretas";0;405;0;405
". 091 Causa obstétrica não espec direta/indireta";0;40;0;40
". 092 Causas maternas tardias e sequelas";0;270;0;270
"093-097 ALG AFECÇÕES ORIGIN NO PERÍODO PERINATAL";10063;7912;54;18029
". 093 Feto e recemnasc afet fat mat e compl grav";3124;2564;22;5710
". 094 Transt relac duração gestação e cresc fetal";853;647;9;1509
". 095 Traumatismo de parto";28;17;0;45
". 096 Trans resp e cardiovas espec per perinatal";3216;2445;12;5673
". 097 Rest afec originadas no período perinatal";2842;2239;11;5092
"098-100 MALF CONGÊN, DEFORM E ANOMAL CROMOSSÔMICAS";5367;4969;111;10447
". 098 Malformações congênitas do sistema nervoso";778;851;7;1636
". 099 Malf congênitas do aparelho circulatório";2129;1859;8;3996
". 100 Rest de malf cong, deform e anomal Cromoss";2460;2259;96;4815
"101-103 SINT, SIN E ACH ANORM CLÍN E LAB, NCOP";47320;35115;162;82597
". 101 Senilidade";1648;3073;0;4721
". 102 Morte sem assistência médica";4871;3304;9;8184
". 103 Rest sint, sin e ach anorm clín e laborat";40801;28738;153;69692
"104-113 CAUSAS EXTERNAS DE MORBIDADE E MORTALIDADE";120553;32212;180;152945
". 104 Acidentes de transporte";28886;5982;24;34892
". 105 Quedas";10201;7803;5;18009
". 106 Afogamento e submersões acidentais";4104;649;7;4760
". 107 Exposição à fumaça, ao fogo e às chamas";630;318;13;961
". 108 Envenen, intoxic por ou expos a subst nociv";574;230;1;805
". 109 Lesões autoprovocadas voluntariamente";12908;3553;1;16462
". 110 Agressões";40504;3788;75;44367
". 111 Eventos(fatos) cuja intenção é indeterminada";11311;4172;50;15533
". 112 Intervenções legais e operações de guerra";2023;18;1;2042
". 113 Todas as outras causas externas";9412;5699;3;15114
"Total";844920;698720;626;1544266
